request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,0,0,18,230,7.469863848760724,0.0
10,1,0,0,18,113,4.238174287602305,0.0
101,1,0,0,21,350,12.400503433309495,0.0
102,1,0,0,20,100,3.1479239966720343,0.0
103,1,0,0,21,51,1.6781585030257702,0.0
104,1,0,0,20,118,3.9211137294769287,0.0
105,1,0,0,21,33,1.0246253898367286,0.0
106,1,0,0,20,103,3.4459873512387276,0.0
107,1,0,0,19,43,1.4088292913511395,0.0
108,1,0,0,20,100,3.2515090769156814,0.0
109,1,0,0,24,17,0.5702471872791648,0.0
11,1,0,0,20,179,5.729003630578518,0.0
110,1,0,0,22,313,10.16887558158487,0.0
111,1,0,0,24,56,1.9641383094713092,0.0
112,1,0,0,16,374,12.029801075346768,0.0
113,1,0,0,20,271,9.080205378122628,0.0
114,1,0,0,22,119,3.949727000668645,0.0
115,1,0,0,24,39,1.1809474742040038,0.0
116,1,0,0,19,17,0.520969201810658,0.0
117,1,0,0,22,422,14.375731514766812,0.0
118,1,0,0,23,314,11.378853627480567,0.0
119,1,0,0,19,337,10.793138977140188,0.0
12,1,0,0,19,244,8.01676751114428,0.0
120,1,0,0,21,365,11.786664512008429,0.0
121,1,0,0,19,296,9.418277343735099,0.0
122,1,0,0,25,37,1.1839156216010451,0.0
123,1,0,0,24,40,1.303238877095282,0.0
124,1,0,0,20,37,1.2227358473464847,0.0
125,1,0,0,18,190,6.359935391694307,0.0
13,1,0,0,18,366,12.082048915326595,0.0
14,1,0,0,22,39,1.5634034546092153,0.0
15,1,0,0,21,370,12.737212415784597,0.0
151,1,0,0,20,41,1.5600409479811788,0.0
152,1,0,0,22,275,10.294817024841905,0.0
153,1,0,0,24,36,1.2038331497460604,0.0
154,1,0,0,19,38,1.2959728008136153,0.0
155,1,0,0,23,47,1.5422853948548436,0.0
156,1,0,0,22,97,2.999285797588527,0.0
157,1,0,0,22,29,0.9596824096515775,0.0
158,1,0,0,25,29,0.9806324876844883,0.0
159,1,0,0,24,36,1.1669240584596992,0.0
16,1,0,0,20,212,6.814595520496368,0.0
160,1,0,0,27,118,4.029669037088752,0.0
161,1,0,0,22,314,10.196169820614159,0.0
162,1,0,0,21,62,2.0852128714323044,0.0
163,1,0,0,21,87,2.9017840372398496,0.0
164,1,0,0,23,36,1.157560620456934,0.0
165,1,0,0,20,38,1.2494314787909389,0.0
166,1,0,0,21,43,1.4330930765718222,0.0
167,1,0,0,24,49,1.7460574014112353,0.0
168,1,0,0,21,15,0.5430632885545492,0.0
169,1,0,0,28,41,1.5390413608402014,0.0
17,1,0,0,19,88,2.96351511310786,0.0
170,1,0,0,26,39,1.2568028047680855,0.0
171,1,0,0,26,27,0.8357786638662219,0.0
172,1,0,0,26,49,1.6987939001992345,0.0
173,1,0,0,24,55,1.8080507842823863,0.0
174,1,0,0,25,15,0.49035237822681665,0.0
175,1,0,0,26,37,1.2859906470403075,0.0
18,1,0,0,19,33,1.052018305286765,0.0
19,1,0,0,23,104,3.2898162733763456,0.0
2,1,0,0,18,394,12.553945591673255,0.0
20,1,0,0,21,116,3.6982355546206236,0.0
201,1,0,0,17,114,3.579576381482184,0.0
202,1,0,0,14,95,3.2211611289530993,0.0
203,1,0,0,15,139,5.418033443391323,0.0
204,1,0,0,15,255,9.391268519684672,0.0
205,1,0,0,19,111,3.995102575980127,0.0
206,1,0,0,14,17,0.7117647081613541,0.0
207,1,0,0,15,17,0.6468999199569225,0.0
208,1,0,0,15,213,7.393893648870289,0.0
209,1,0,0,19,435,14.928277271799743,0.0
21,1,0,0,20,321,10.203673020005226,0.0
210,1,0,0,14,332,10.910416226834059,0.0
211,1,0,0,22,74,2.3508675936609507,0.0
212,1,0,0,20,45,1.4051463576033711,0.0
213,1,0,0,21,35,1.1515585407614708,0.0
214,1,0,0,22,40,1.2988036861643195,0.0
